gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
grub-btrfs 4.13-2
grub-garuda 2.06-2
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.24.12-3
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.12-3
gst-plugins-bad-libs 1.24.12-3
gst-plugins-base 1.24.12-3
gst-plugins-base-libs 1.24.12-3
gst-plugins-espeak 0.5.0-5
gst-plugins-good 1.24.12-3
gst-plugins-ugly 1.24.12-3
gstreamer 1.24.12-3
gstreamer-meta 1-4
gstreamer-vaapi 1.24.12-3
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.12-1
gtk3 1:3.24.49-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gwe 0.15.9-1.1
gwenview 24.12.3-1
gzip 1.13-4
harfbuzz 10.4.0-1
harfbuzz-icu 10.4.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hostapd 2.11-4
htop 3.3.0-3
hunspell 1.7.2-2
hwdata 0.393-1
hwinfo 23.3-3
hwloc 2.12.0-1
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20250213-1
icu 76.1-1
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.44-1
imath 3.1.12-3
imlib2 1.12.3-2
inetutils 2.5-1
input-devices-support 1.0.2-2
intel-gmmlib 22.6.0-1
intel-media-driver 25.1.2-1
intel-ucode 20250211-1
inter-font 4.1-1
inxi 3.3.37.1-1
iproute2 6.13.0-1
iptables-nft 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iw 6.9-1
jansson 2.14-4
jasper 4.2.4-2
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 24.12.3-1
kactivitymanagerd 6.3.2-1
karchive 6.11.0-1
karchive5 5.116.0-1
kate 24.12.3-1
kauth 6.11.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.11.0-1
kbookmarks5 5.116.0-1
kcmutils 6.11.0-1
kcodecs 6.11.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorscheme 6.11.0-1
kcompletion 6.11.0-1
kcompletion5 5.116.0-1
kconfig 6.11.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.11.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.11.0-1
kcoreaddons 6.11.0-1
kcoreaddons5 5.116.0-1
kcrash 6.11.0-1
kcrash5 5.116.0-1
kdbusaddons 6.11.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.3.2-1
kde-gtk-config 6.3.2-1
kdeclarative 6.11.0-1
kdeconnect 24.12.3-1
kdecoration 6.3.2-1
kded 6.11.0-1
kded5 5.116.0-1
kdegraphics-mobipocket 24.12.3-1
kdegraphics-thumbnailers 24.12.3-1
kdeplasma-addons 6.3.2-1
kdesu 6.11.0-1
kdialog 24.12.3-1
kdnssd 6.11.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-3
kf6-servicemenus-rootactions 1.1.0-1
kfilemetadata 6.11.0-1
kglobalaccel 6.11.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.3.2-1
kguiaddons 6.11.0-1
kguiaddons5 5.116.0-1
kholidays 1:6.11.0-1
ki18n 6.11.0-1
ki18n5 5.116.0-1
kiconthemes 6.11.0-1
kiconthemes5 5.116.0-1
kidletime 6.11.0-1
kimageannotator 0.7.1-3
kimageformats 6.11.0-1
kinfocenter 6.3.2-2
kinit 5.116.0-1
kio 6.11.0-1
kio-extras 24.12.3-1
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.11.0-1
kirigami-addons 1.7.0-1
kitemmodels 6.11.0-1
kitemmodels5 5.116.0-1
kitemviews 6.11.0-1
kitemviews5 5.116.0-1
kjobwidgets 6.11.0-1
kjobwidgets5 5.116.0-1
kmenuedit 6.3.2-1
kmod 34.1-1
knewstuff 6.11.0-1
knotifications 6.11.0-1
knotifications5 5.116.0-1
knotifyconfig 6.11.0-1
konsole 24.12.3-1
kpackage 6.11.0-1
kparts 6.11.0-1
kpeople 6.11.0-1
kpipewire 6.3.2-1
kpmcore 24.12.3-1
kpty 6.11.0-1
